YEAR,MONTH,DATE,TIME_INTERVAL,STREET,LATITUDE,LONGITUDE,ACCLASS,INVTYPE,INVAGE,INJURY
2006,7,2006-07-04 04:00:00+00:00,20-21,LAWRENCE AVE E and OVERTURE RD,43.765445,-79.19949,Non-Fatal Injury,Passenger,25 to 29,Major
2006,7,2006-07-05 04:00:00+00:00,21-22,VICTORIA PARK AVE and TERRAVIEW BLVD,43.764545,-79.31819,Non-Fatal Injury,Motorcycle Driver,25 to 29,Major
2006,7,2006-07-05 04:00:00+00:00,21-22,VICTORIA PARK AVE and TERRAVIEW BLVD,43.764545,-79.31819,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-05 04:00:00+00:00,21-22,VICTORIA PARK AVE and TERRAVIEW BLVD,43.764545,-79.31819,Non-Fatal Injury,Driver,45 to 49,
2006,7,2006-07-07 04:00:00+00:00,01-02,HARBOUR ST and YORK ST,43.640945,-79.38069,Non-Fatal Injury,Passenger,20 to 24,Major
2006,7,2006-07-07 04:00:00+00:00,01-02,HARBOUR ST and YORK ST,43.640945,-79.38069,Non-Fatal Injury,Driver,25 to 29,Major
2006,7,2006-07-07 04:00:00+00:00,01-02,HARBOUR ST and YORK ST,43.640945,-79.38069,Non-Fatal Injury,Passenger,25 to 29,Minor
2006,7,2006-07-07 04:00:00+00:00,01-02,HARBOUR ST and YORK ST,43.640945,-79.38069,Non-Fatal Injury,Driver,20 to 24,Minimal
2006,7,2006-07-07 04:00:00+00:00,14-15,YONGE ST and PLEASANT AVE,43.687645,-79.39389,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-07 04:00:00+00:00,14-15,YONGE ST and PLEASANT AVE,43.687645,-79.39389,Non-Fatal Injury,Driver,35 to 39,
2006,7,2006-07-07 04:00:00+00:00,14-15,YONGE ST and PLEASANT AVE,43.687645,-79.39389,Non-Fatal Injury,Pedestrian,75 to 79,Major
2006,7,2006-07-08 04:00:00+00:00,16-17,REES ST and LAKE SHORE BLVD W,43.639445,-79.38679,Non-Fatal Injury,Driver,25 to 29,
2006,7,2006-07-08 04:00:00+00:00,16-17,REES ST and LAKE SHORE BLVD W,43.639445,-79.38679,Non-Fatal Injury,Passenger,5 to 9,Major
2006,7,2006-07-08 04:00:00+00:00,16-17,REES ST and LAKE SHORE BLVD W,43.639445,-79.38679,Non-Fatal Injury,Passenger,30 to 34,Minimal
2006,7,2006-07-08 04:00:00+00:00,16-17,REES ST and LAKE SHORE BLVD W,43.639445,-79.38679,Non-Fatal Injury,Passenger,5 to 9,Minimal
2006,7,2006-07-08 04:00:00+00:00,16-17,REES ST and LAKE SHORE BLVD W,43.639445,-79.38679,Non-Fatal Injury,Passenger,30 to 34,Minimal
2006,7,2006-07-08 04:00:00+00:00,16-17,REES ST and LAKE SHORE BLVD W,43.639445,-79.38679,Non-Fatal Injury,Driver,30 to 34,
2006,7,2006-07-09 04:00:00+00:00,18-19,LAKE SHORE BLVD W and BATHURST ST,43.636445,-79.39959,Non-Fatal Injury,Driver,35 to 39,
2006,7,2006-07-09 04:00:00+00:00,18-19,LAKE SHORE BLVD W and BATHURST ST,43.636445,-79.39959,Non-Fatal Injury,Passenger,20 to 24,Minor
2006,7,2006-07-09 04:00:00+00:00,18-19,LAKE SHORE BLVD W and BATHURST ST,43.636445,-79.39959,Non-Fatal Injury,Passenger,20 to 24,Major
2006,7,2006-07-09 04:00:00+00:00,18-19,LAKE SHORE BLVD W and BATHURST ST,43.636445,-79.39959,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-09 04:00:00+00:00,18-19,LAKE SHORE BLVD W and BATHURST ST,43.636445,-79.39959,Non-Fatal Injury,Driver,20 to 24,Minimal
2006,7,2006-07-10 04:00:00+00:00,13-14,2609 LAKE SHORE BLVD W,43.605445,-79.49109,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-10 04:00:00+00:00,13-14,2609 LAKE SHORE BLVD W,43.605445,-79.49109,Non-Fatal Injury,Driver,45 to 49,Minimal
2006,7,2006-07-10 04:00:00+00:00,13-14,2609 LAKE SHORE BLVD W,43.605445,-79.49109,Non-Fatal Injury,Passenger,70 to 74,Minimal
2006,7,2006-07-10 04:00:00+00:00,13-14,2609 LAKE SHORE BLVD W,43.605445,-79.49109,Non-Fatal Injury,Driver,60 to 64,Major
2006,7,2006-07-10 04:00:00+00:00,13-14,MARTIN GROVE RD and LEXINGTON AVE,43.744245,-79.59539,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-10 04:00:00+00:00,13-14,MARTIN GROVE RD and LEXINGTON AVE,43.744245,-79.59539,Non-Fatal Injury,Driver,25 to 29,Minimal
2006,7,2006-07-10 04:00:00+00:00,13-14,MARTIN GROVE RD and LEXINGTON AVE,43.744245,-79.59539,Non-Fatal Injury,Passenger,15 to 19,Major
2006,7,2006-07-10 04:00:00+00:00,13-14,MARTIN GROVE RD and LEXINGTON AVE,43.744245,-79.59539,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-10 04:00:00+00:00,13-14,MARTIN GROVE RD and LEXINGTON AVE,43.744245,-79.59539,Non-Fatal Injury,Driver,35 to 39,Minimal
2006,7,2006-07-10 04:00:00+00:00,17-18,QUEEN ST E and NEVILLE BLVD,43.673845,-79.28189,Non-Fatal Injury,Driver,85 to 89,
2006,7,2006-07-10 04:00:00+00:00,17-18,QUEEN ST E and NEVILLE BLVD,43.673845,-79.28189,Non-Fatal Injury,Pedestrian,85 to 89,Major
2006,7,2006-07-11 04:00:00+00:00,08-09,MEADOWVALE RD and ROTARY DR,43.807445,-79.17039,Non-Fatal Injury,Driver,55 to 59,
2006,7,2006-07-11 04:00:00+00:00,08-09,MEADOWVALE RD and ROTARY DR,43.807445,-79.17039,Non-Fatal Injury,Pedestrian,35 to 39,Major
2006,7,2006-07-11 04:00:00+00:00,18-19,WINNETT AVE and HURSTING AVE,43.686245,-79.43189,Non-Fatal Injury,Driver,55 to 59,
2006,7,2006-07-11 04:00:00+00:00,18-19,WINNETT AVE and HURSTING AVE,43.686245,-79.43189,Non-Fatal Injury,Cyclist,5 to 9,Major
2006,7,2006-07-12 04:00:00+00:00,01-02,BURNHAMTHORPE RD and TRANQUIL DR,43.643045,-79.57379,Non-Fatal Injury,Motorcycle Passenger,25 to 29,Minimal
2006,7,2006-07-12 04:00:00+00:00,01-02,BURNHAMTHORPE RD and TRANQUIL DR,43.643045,-79.57379,Non-Fatal Injury,Motorcycle Driver,30 to 34,Major
2006,7,2006-07-12 04:00:00+00:00,16-17,BRIMLEY RD and DORCOT AVE,43.758945,-79.25709,Non-Fatal Injury,,unknown,
2006,7,2006-07-12 04:00:00+00:00,16-17,BRIMLEY RD and DORCOT AVE,43.758945,-79.25709,Non-Fatal Injury,Pedestrian,50 to 54,Major
2006,7,2006-07-13 04:00:00+00:00,11-12,QUEENS PR S WELLESLEY RAMP E and WELLESLEY ST W,43.663145,-79.39269,Non-Fatal Injury,Driver,45 to 49,
2006,7,2006-07-13 04:00:00+00:00,11-12,QUEENS PR S WELLESLEY RAMP E and WELLESLEY ST W,43.663145,-79.39269,Non-Fatal Injury,Cyclist,20 to 24,Major
2006,7,2006-07-13 04:00:00+00:00,13-14,SPADINA AVE and RICHMOND ST W,43.647845,-79.39599,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-13 04:00:00+00:00,13-14,SPADINA AVE and RICHMOND ST W,43.647845,-79.39599,Non-Fatal Injury,Driver,40 to 44,
2006,7,2006-07-13 04:00:00+00:00,13-14,SPADINA AVE and RICHMOND ST W,43.647845,-79.39599,Non-Fatal Injury,Pedestrian,40 to 44,Major
2006,7,2006-07-14 04:00:00+00:00,09-10,DUFFERIN ST and DUNDAS ST W,43.649645,-79.43139,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-14 04:00:00+00:00,09-10,DUFFERIN ST and DUNDAS ST W,43.649645,-79.43139,Non-Fatal Injury,Driver,20 to 24,
2006,7,2006-07-14 04:00:00+00:00,09-10,DUFFERIN ST and DUNDAS ST W,43.649645,-79.43139,Non-Fatal Injury,Cyclist,25 to 29,Major
2006,7,2006-07-14 04:00:00+00:00,13-14,BURNHAMTHORPE RD and OLD BURNHAMTHORPE RD,43.642845,-79.57469,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-14 04:00:00+00:00,13-14,BURNHAMTHORPE RD and OLD BURNHAMTHORPE RD,43.642845,-79.57469,Non-Fatal Injury,Driver,35 to 39,
2006,7,2006-07-14 04:00:00+00:00,13-14,BURNHAMTHORPE RD and OLD BURNHAMTHORPE RD,43.642845,-79.57469,Non-Fatal Injury,Pedestrian,60 to 64,Major
2006,7,2006-07-14 04:00:00+00:00,16-17,CHAPLIN CRES and EGLINTON AVE W,43.702745,-79.41739,Non-Fatal Injury,Passenger,40 to 44,Major
2006,7,2006-07-14 04:00:00+00:00,16-17,CHAPLIN CRES and EGLINTON AVE W,43.702745,-79.41739,Non-Fatal Injury,Driver,35 to 39,
2006,7,2006-07-14 04:00:00+00:00,16-17,CHAPLIN CRES and EGLINTON AVE W,43.702745,-79.41739,Non-Fatal Injury,Driver,55 to 59,
2006,7,2006-07-16 04:00:00+00:00,12-13,BAYVIEW AVE and SOUDAN AVE,43.710745,-79.37709,Non-Fatal Injury,Passenger,0 to 4,Minimal
2006,7,2006-07-16 04:00:00+00:00,12-13,BAYVIEW AVE and SOUDAN AVE,43.710745,-79.37709,Non-Fatal Injury,Vehicle Owner,unknown,
2006,7,2006-07-16 04:00:00+00:00,12-13,BAYVIEW AVE and SOUDAN AVE,43.710745,-79.37709,Non-Fatal Injury,Driver,45 to 49,
2006,7,2006-07-16 04:00:00+00:00,12-13,BAYVIEW AVE and SOUDAN AVE,43.710745,-79.37709,Non-Fatal Injury,Driver,65 to 69,Major
2006,7,2006-07-17 04:00:00+00:00,19-20,BATHURST ST and RICHMOND ST W,43.646445,-79.40379,Non-Fatal Injury,Motorcycle Driver,25 to 29,Major
2006,7,2006-07-17 04:00:00+00:00,19-20,BATHURST ST and RICHMOND ST W,43.646445,-79.40379,Non-Fatal Injury,Driver,55 to 59,
2006,7,2006-07-18 04:00:00+00:00,10-11,YONGE ST and LORD SEATON RD,43.752445,-79.40809,Non-Fatal Injury,Passenger,35 to 39,Minimal
2006,7,2006-07-18 04:00:00+00:00,10-11,YONGE ST and LORD SEATON RD,43.752445,-79.40809,Non-Fatal Injury,Driver,40 to 44,Major
2006,7,2006-07-18 04:00:00+00:00,10-11,YONGE ST and LORD SEATON RD,43.752445,-79.40809,Non-Fatal Injury,Passenger,50 to 54,Minimal
2006,7,2006-07-18 04:00:00+00:00,10-11,YONGE ST and LORD SEATON RD,43.752445,-79.40809,Non-Fatal Injury,Driver,50 to 54,
2006,7,2006-07-18 04:00:00+00:00,10-11,YONGE ST and LORD SEATON RD,43.752445,-79.40809,Non-Fatal Injury,Passenger,30 to 34,Major
2006,8,2006-08-07 04:00:00+00:00,23-00,KING ST W and BLUE JAYS WAY,43.646145,-79.39179,Non-Fatal Injury,Driver,unknown,
2006,5,2006-05-06 04:00:00+00:00,18-19,YONGE ST and WILSON AVE,43.744145,-79.40669,Non-Fatal Injury,Driver,40 to 44,Minor
2006,3,2006-03-15 05:00:00+00:00,15-16,ISLINGTON AVE and DIXON RD,43.697045,-79.54669,Fatal,Pedestrian,20 to 24,Fatal
2006,5,2006-05-06 04:00:00+00:00,18-19,YONGE ST and WILSON AVE,43.744145,-79.40669,Non-Fatal Injury,Driver,25 to 29,Minor
2006,1,2006-01-01 05:00:00+00:00,02-03,WOODBINE AVE and O CONNOR DR,43.699595,-79.318797,Non-Fatal Injury,Driver,25 to 29,
2006,8,2006-08-07 04:00:00+00:00,23-00,KING ST W and BLUE JAYS WAY,43.646145,-79.39179,Non-Fatal Injury,Pedestrian,25 to 29,Major
2006,5,2006-05-06 04:00:00+00:00,18-19,YONGE ST and WILSON AVE,43.744145,-79.40669,Non-Fatal Injury,Driver,90 to 94,Major
2006,1,2006-01-01 05:00:00+00:00,03-04,DANFORTH AVE and WEST LYNN AVE,43.684874,-79.316188,Non-Fatal Injury,Passenger,10 to 14,Minor
2006,8,2006-08-08 04:00:00+00:00,09-10,2159 KIPLING AVE,43.721145,-79.57119,Non-Fatal Injury,Driver,65 to 69,
2006,5,2006-05-06 04:00:00+00:00,23-00,SHEPPARD AVE E and BROWNSPRING RD,43.789445,-79.25969,Non-Fatal Injury,Driver,50 to 54,
2006,5,2006-05-06 04:00:00+00:00,23-00,SHEPPARD AVE E and BROWNSPRING RD,43.789445,-79.25969,Non-Fatal Injury,Pedestrian,55 to 59,Major
2006,1,2006-01-01 05:00:00+00:00,03-04,DANFORTH AVE and WEST LYNN AVE,43.684874,-79.316188,Non-Fatal Injury,Passenger,15 to 19,Major
2006,8,2006-08-08 04:00:00+00:00,09-10,2159 KIPLING AVE,43.721145,-79.57119,Non-Fatal Injury,Pedestrian,55 to 59,Major
2006,5,2006-05-07 04:00:00+00:00,14-15,EDENBRIDGE DR and THE KINGSWAY,43.667545,-79.52759,Non-Fatal Injury,Passenger,55 to 59,Minor
2006,1,2006-01-01 05:00:00+00:00,03-04,DANFORTH AVE and WEST LYNN AVE,43.684874,-79.316188,Non-Fatal Injury,Passenger,15 to 19,Minor
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Passenger,55 to 59,Major
2006,1,2006-01-01 05:00:00+00:00,03-04,DANFORTH AVE and WEST LYNN AVE,43.684874,-79.316188,Non-Fatal Injury,Driver,20 to 24,
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Vehicle Owner,unknown,
2006,1,2006-01-01 05:00:00+00:00,03-04,DANFORTH AVE and WEST LYNN AVE,43.684874,-79.316188,Non-Fatal Injury,Other Property Owner,unknown,
2006,5,2006-05-07 04:00:00+00:00,14-15,EDENBRIDGE DR and THE KINGSWAY,43.667545,-79.52759,Non-Fatal Injury,Driver,65 to 69,Major
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Passenger,0 to 4,Minor
2006,1,2006-01-02 05:00:00+00:00,07-08,BATHURST ST and DUNDAS ST W,43.652892,-79.406253,Non-Fatal Injury,Driver,30 to 34,
2006,8,2006-08-08 04:00:00+00:00,10-11,YONGE ST and ATHABASKA AVE,43.795445,-79.41939,Non-Fatal Injury,Driver,40 to 44,
2006,1,2006-01-02 05:00:00+00:00,07-08,BATHURST ST and DUNDAS ST W,43.652892,-79.406253,Non-Fatal Injury,Pedestrian,45 to 49,Major
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Driver,25 to 29,Minor
2006,5,2006-05-08 04:00:00+00:00,19-20,MANNING AVE and BLOOR ST W,43.665345,-79.41649,Non-Fatal Injury,Driver,unknown,
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Driver,65 to 69,Major
2006,1,2006-01-04 05:00:00+00:00,19-20,DUFFERIN ST and SYLVAN AVE,43.655145,-79.43359,Non-Fatal Injury,Driver,25 to 29,
2006,1,2006-01-04 05:00:00+00:00,19-20,DUFFERIN ST and SYLVAN AVE,43.655145,-79.43359,Non-Fatal Injury,Pedestrian,75 to 79,Major
2006,5,2006-05-08 04:00:00+00:00,19-20,MANNING AVE and BLOOR ST W,43.665345,-79.41649,Non-Fatal Injury,Pedestrian,30 to 34,Major
2006,8,2006-08-08 04:00:00+00:00,10-11,YONGE ST and ATHABASKA AVE,43.795445,-79.41939,Non-Fatal Injury,Pedestrian,80 to 84,Major
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Vehicle Owner,unknown,
2006,5,2006-05-08 04:00:00+00:00,19-20,EGLINTON AVE E and FORMAN AVE,43.709145,-79.38619,Non-Fatal Injury,Vehicle Owner,unknown,
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Driver,35 to 39,
2006,8,2006-08-08 04:00:00+00:00,17-18,GATEWAY BLVD and DON MILLS RD,43.714645,-79.33529,Non-Fatal Injury,Driver,45 to 49,Major
2006,5,2006-05-08 04:00:00+00:00,19-20,EGLINTON AVE E and FORMAN AVE,43.709145,-79.38619,Non-Fatal Injury,Driver,55 to 59,Major
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Vehicle Owner,unknown,
2006,1,2006-01-06 05:00:00+00:00,22-23,DON MILLS RD and LEITH HILL RD,43.777056,-79.347858,Non-Fatal Injury,Driver,50 to 54,
2006,8,2006-08-08 04:00:00+00:00,17-18,GATEWAY BLVD and DON MILLS RD,43.714645,-79.33529,Non-Fatal Injury,Passenger,45 to 49,Major
2006,3,2006-03-16 05:00:00+00:00,09-10,BIRCHMOUNT RD and SANWOOD BLVD,43.816245,-79.31449,Non-Fatal Injury,Driver,25 to 29,Major
2006,5,2006-05-08 04:00:00+00:00,19-20,EGLINTON AVE E and FORMAN AVE,43.709145,-79.38619,Non-Fatal Injury,Driver,55 to 59,
2006,1,2006-01-06 05:00:00+00:00,22-23,DON MILLS RD and LEITH HILL RD,43.777056,-79.347858,Non-Fatal Injury,Pedestrian,25 to 29,Major
2006,8,2006-08-08 04:00:00+00:00,17-18,GATEWAY BLVD and DON MILLS RD,43.714645,-79.33529,Non-Fatal Injury,Driver,35 to 39,Major
2006,5,2006-05-09 04:00:00+00:00,07-08,THE QUEENSWAY and MORGAN AVE,43.626545,-79.50149,Non-Fatal Injury,Driver,65 to 69,Major
2006,2,2006-02-03 05:00:00+00:00,09-10,ELLESMERE RD and BIRCHMOUNT RD,43.763445,-79.29139,Non-Fatal Injury,Driver,50 to 54,
2006,3,2006-03-16 05:00:00+00:00,17-18,DUNDAS ST E and PEMBROKE ST,43.658145,-79.37239,Non-Fatal Injury,Driver,25 to 29,
2006,8,2006-08-09 04:00:00+00:00,18-19,ORIOLE PKWY and TRANMER AVE,43.699945,-79.40409,Non-Fatal Injury,Vehicle Owner,unknown,
2006,5,2006-05-09 04:00:00+00:00,07-08,THE QUEENSWAY and MORGAN AVE,43.626545,-79.50149,Non-Fatal Injury,Passenger,30 to 34,Minor
2006,2,2006-02-03 05:00:00+00:00,09-10,ELLESMERE RD and BIRCHMOUNT RD,43.763445,-79.29139,Non-Fatal Injury,Pedestrian,65 to 69,Major
2006,1,2006-01-07 05:00:00+00:00,23-00,STEELES AVE E and NINTH LINE ST,43.842745,-79.22479,Fatal,Driver,50 to 54,Fatal
2006,3,2006-03-16 05:00:00+00:00,17-18,DUNDAS ST E and PEMBROKE ST,43.658145,-79.37239,Non-Fatal Injury,Pedestrian,60 to 64,Major
2006,8,2006-08-09 04:00:00+00:00,18-19,ORIOLE PKWY and TRANMER AVE,43.699945,-79.40409,Non-Fatal Injury,Driver,35 to 39,
2006,2,2006-02-07 05:00:00+00:00,13-14,JANE ST and BRADLEY AVE,43.663745,-79.49039,Non-Fatal Injury,Driver,50 to 54,
